Assists,Goal_Shot_Ratio,Goals,MVPs,Player_name,Rank,Saves,Shots,TRN_Score,Wins
"1,480",58,"36,245",859,DeadlyPinkSmoke,2615,"17,455","66,755","230,799.60","6,071"
"6,807",50.8,"36,246","3,065",EcHO,2614,"20,980","72,236","251,031.00","9,350"
"12,289",49.8,"36,247","6,328",dminus45,2613,"20,814","74,182","143,369.30","14,061"
"2,618",57.9,"36,250","1,331",Internet,2612,"17,652","63,323","206,640.30","6,473"
"2,666",42.9,"36,253","1,304",fareinheit117,2611,"4,676","15,651","-4,454,300.00","2,753"
"13,446",44,"36,254","4,409",Ratty,2608,"36,383","82,497","802,462.00","13,448"
"7,957",52.8,"36,254","3,628",Martein,2608,"21,220","68,722","115,868.70","11,664"
"9,350",53.6,"36,254","5,108",NÍCOLAS LESSA,2608,"13,984","68,582","128,551.10","10,792"
"12,137",50,"36,258","6,682",SIceet,2607,"23,155","73,123","202,609.80","13,523"
"8,186",49.6,"36,259","3,526",auty,2606,"15,516","73,173","133,415.10","9,602"
"15,574",44.6,"36,260","7,226",Skater Evolved,2604,"31,432","81,401","277,379.90","16,629"
"9,138",55.5,"36,260","3,688",grovest4lyf,2604,"18,178","67,387","120,329.80","10,962"
